"","ID","observation","code"
"1",1,"MCTLFNC1",2
"2",1,"OXTOFNC1",41
"3",1,"PMICFNC1",3
"4",1,"XLMEFNC1",2
"5",2,"MCTLFNC1",-1
"6",2,"OXTOFNC1",41
"7",2,"PMICFNC1",-1
"8",2,"XLMEFNC1",-1
"9",3,"MCTLFNC1",41
"10",3,"OXTOFNC1",41
"11",3,"PMICFNC1",1
"12",3,"XLMEFNC1",41
"13",4,"MCTLFNC1",41
"14",4,"OXTOFNC1",41
"15",4,"PMICFNC1",1
"16",4,"XLMEFNC1",41
"17",5,"MCTLFNC1",41
"18",5,"OXTOFNC1",41
"19",5,"PMICFNC1",1
"20",5,"XLMEFNC1",41
"21",6,"MCTLFNC1",41
"22",6,"OXTOFNC1",41
"23",6,"PMICFNC1",1
"24",6,"XLMEFNC1",41
"25",7,"MCTLFNC1",41
"26",7,"OXTOFNC1",41
"27",7,"PMICFNC1",41
"28",7,"XLMEFNC1",41
"29",8,"MCTLFNC1",41
"30",8,"OXTOFNC1",41
"31",8,"PMICFNC1",1
"32",8,"XLMEFNC1",41
"33",9,"MCTLFNC1",41
"34",9,"OXTOFNC1",41
"35",9,"PMICFNC1",1
"36",9,"XLMEFNC1",41
"37",10,"MCTLFNC1",41
"38",10,"OXTOFNC1",41
"39",10,"PMICFNC1",41
"40",10,"XLMEFNC1",41
"41",11,"MCTLFNC1",41
"42",11,"OXTOFNC1",41
"43",11,"PMICFNC1",-1
"44",11,"XLMEFNC1",41
"45",12,"MCTLFNC1",41
"46",12,"OXTOFNC1",41
"47",12,"PMICFNC1",41
"48",12,"XLMEFNC1",41
"49",13,"MCTLFNC1",41
"50",13,"OXTOFNC1",41
"51",13,"PMICFNC1",41
"52",13,"XLMEFNC1",41
"53",14,"MCTLFNC1",41
"54",14,"OXTOFNC1",41
"55",14,"PMICFNC1",41
"56",14,"XLMEFNC1",41
"57",15,"MCTLFNC1",41
"58",15,"OXTOFNC1",41
"59",15,"PMICFNC1",-1
"60",15,"XLMEFNC1",41
"61",16,"MCTLFNC1",41
"62",16,"OXTOFNC1",41
"63",16,"PMICFNC1",-1
"64",16,"XLMEFNC1",41
"65",17,"MCTLFNC1",2
"66",17,"OXTOFNC1",41
"67",17,"PMICFNC1",3
"68",17,"XLMEFNC1",2
"69",18,"MCTLFNC1",2
"70",18,"OXTOFNC1",41
"71",18,"PMICFNC1",3
"72",18,"XLMEFNC1",2
"73",19,"MCTLFNC1",39
"74",19,"OXTOFNC1",41
"75",19,"PMICFNC1",39
"76",19,"XLMEFNC1",41
"77",20,"MCTLFNC1",39
"78",20,"OXTOFNC1",41
"79",20,"PMICFNC1",39
"80",20,"XLMEFNC1",41
"81",21,"MCTLFNC1",1
"82",21,"OXTOFNC1",41
"83",21,"PMICFNC1",1
"84",21,"XLMEFNC1",41
"85",22,"MCTLFNC1",39
"86",22,"OXTOFNC1",41
"87",22,"PMICFNC1",39
"88",22,"XLMEFNC1",39
"89",23,"MCTLFNC1",1
"90",23,"OXTOFNC1",41
"91",23,"PMICFNC1",1
"92",23,"XLMEFNC1",1
"93",24,"MCTLFNC1",1
"94",24,"OXTOFNC1",41
"95",24,"PMICFNC1",1
