"archInterp1","funcInterp1","count"
"access-way (alley, street, avenue, etc.)","plaza",3
"access-way (alley, street, avenue, etc.)","street or avenue",177
"access-way (alley, street, avenue, etc.)","unoccupied, not clear if cultivated or not",1
"access-way (alley, street, avenue, etc.)",NA,3
"apartment compound","\""civic\"" structure, but not a temple",4
"apartment compound","high status residence",481
"apartment compound","intermediate status residence",3651
"apartment compound","low status residential, no obvious occupational specialization",5
"apartment compound","obsidian workshop",49
"apartment compound","other",8
"apartment compound","other type of workshop or craft production area",8
"apartment compound","pottery workshop",8
"apartment compound","residence of uncertain status",230
"apartment compound","residential workshop",128
"apartment compound",NA,54
"avenue divider or possible avenue divider","avenue divider",21
"casa humilde","cultivated field",2
"casa humilde","intermediate status residence",8
"casa humilde","low status residential, no obvious occupational specialization",2060
"casa humilde","market or part of a market",6
"casa humilde","obsidian workshop",18
"casa humilde","other type of workshop or craft production area",3
"casa humilde","residence of uncertain status",50
"casa humilde","residential workshop",2
"casa humilde","unoccupied, not clear if cultivated or not",5
"casa humilde","wall or segment of a wall",2
"casa humilde",NA,42
"cave","other",16
"cave",NA,12
"cemetery","cemetery",24
"cemetery","market or part of a market",3
"cemetery","obsidian workshop",6
"cemetery","street or avenue",1
"free-standing wall or segment of wall","other",16
"free-standing wall or segment of wall","wall or segment of a wall",94
"occupation without durable structures","cultivated field",28
"occupation without durable structures","low status residential, no obvious occupational specialization",72
"occupation without durable structures","market or part of a market",3
"occupation without durable structures","obsidian workshop",40
"occupation without durable structures","other",10
"occupation without durable structures","other type of workshop or craft production area",6
"occupation without durable structures","platform of probable religious significance",1
"occupation without durable structures","plaza",3
"occupation without durable structures","pottery workshop",2
"occupation without durable structures","puesto",6
"occupation without durable structures","residence of uncertain status",33
"occupation without durable structures","temple platform",2
"occupation without durable structures","unoccupied, not clear if cultivated or not",29
"occupation without durable structures",NA,812
"other","obsidian workshop",3
"other","other",68
"other","platform of probable religious significance",3
"other","temple platform",2
"other",NA,23
"platform in plaza (momoztli)","momoztli (platform in plaza)",17
"platform in plaza (momoztli)","plaza",1
"platform with other structures on it","high status residence",10
"platform with other structures on it","intermediate status residence",12
"platform with other structures on it","other",16
"platform with other structures on it","platform of probable religious significance",315
"platform with other structures on it","plaza",3
"platform with other structures on it","residence of uncertain status",8
"platform with other structures on it","temple platform",17
"platform with other structures on it",NA,12
"plaza","cultivated field",3
"plaza","market or part of a market",22
"plaza","momoztli (platform in plaza)",1
"plaza","obsidian workshop",11
"plaza","other",10
"plaza","plaza",973
"plaza","possible ball court",13
"plaza","pottery workshop",2
"plaza","residence of uncertain status",1
"plaza","street or avenue",6
"plaza","unoccupied, not clear if cultivated or not",2
"plaza",NA,32
"probably not occupied or utilized in this period","\""civic\"" structure, but not a temple",10
"probably not occupied or utilized in this period","altar",1
"probably not occupied or utilized in this period","avenue divider",1
"probably not occupied or utilized in this period","cultivated field",52
"probably not occupied or utilized in this period","high status residence",1
"probably not occupied or utilized in this period","intermediate status residence",3
"probably not occupied or utilized in this period","low status residential, no obvious occupational specialization",17
"probably not occupied or utilized in this period","other",1
"probably not occupied or utilized in this period","plaza",5
"probably not occupied or utilized in this period","residence of uncertain status",14
"probably not occupied or utilized in this period","residential workshop",2
"probably not occupied or utilized in this period","uncultivated open area",3
"probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not",4618
"probably not occupied or utilized in this period",NA,1875
"pyramid (more than ca. 10m high)","pyramid temple (over 10 m high)",27
"room group","high status residence",64
"room group","intermediate status residence",121
"room group","low status residential, no obvious occupational specialization",7
"room group","obsidian workshop",24
"room group","other",2
"room group","platform of probable religious significance",3
"room group","pottery workshop",2
"room group","residence of uncertain status",2049
"room group","residential workshop",59
"room group","temple platform",3
"room group","unoccupied, not clear if cultivated or not",1
"room group",NA,49
"simple platform","\""civic\"" structure, but not a temple",2
"simple platform","altar",2
"simple platform","intermediate status residence",1
"simple platform","momoztli (platform in plaza)",3
"simple platform","other",14
"simple platform","platform of probable religious significance",514
"simple platform","plaza",9
"simple platform","residence of uncertain status",3
"simple platform","temple platform",18
"simple platform","unoccupied, not clear if cultivated or not",2
"simple platform",NA,5
"temple base (incl. platforms & multi-tiered platforms)","other",3
"temple base (incl. platforms & multi-tiered platforms)","platform of probable religious significance",3
"temple base (incl. platforms & multi-tiered platforms)","probably temple, hard to fit into any of the above categories",44
"temple base (incl. platforms & multi-tiered platforms)","residence of uncertain status",1
"temple base (incl. platforms & multi-tiered platforms)","temple",9
"temple base (incl. platforms & multi-tiered platforms)","temple platform",504
"temple base (incl. platforms & multi-tiered platforms)","unoccupied, not clear if cultivated or not",1
NA,"cultivated field",1
NA,"platform of probable religious significance",1
NA,"residence of uncertain status",1
NA,"unoccupied, not clear if cultivated or not",2
NA,NA,209
