"","ID","observation","code"
"1",1,"MCTLARC1",4
"2",1,"OXTOARC1",20
"3",1,"PMICARC1",2
"4",1,"XLMEARC1",4
"5",2,"MCTLARC1",19
"6",2,"OXTOARC1",20
"7",2,"PMICARC1",19
"8",2,"XLMEARC1",19
"9",3,"MCTLARC1",20
"10",3,"OXTOARC1",20
"11",3,"PMICARC1",3
"12",3,"XLMEARC1",20
"13",4,"MCTLARC1",20
"14",4,"OXTOARC1",20
"15",4,"PMICARC1",3
"16",4,"XLMEARC1",20
"17",5,"MCTLARC1",20
"18",5,"OXTOARC1",20
"19",5,"PMICARC1",3
"20",5,"XLMEARC1",20
"21",6,"MCTLARC1",20
"22",6,"OXTOARC1",20
"23",6,"PMICARC1",3
"24",6,"XLMEARC1",20
"25",7,"MCTLARC1",20
"26",7,"OXTOARC1",20
"27",7,"PMICARC1",20
"28",7,"XLMEARC1",20
"29",8,"MCTLARC1",20
"30",8,"OXTOARC1",20
"31",8,"PMICARC1",19
"32",8,"XLMEARC1",20
"33",9,"MCTLARC1",20
"34",9,"OXTOARC1",20
"35",9,"PMICARC1",19
"36",9,"XLMEARC1",20
"37",10,"MCTLARC1",20
"38",10,"OXTOARC1",20
"39",10,"PMICARC1",20
"40",10,"XLMEARC1",20
"41",11,"MCTLARC1",20
"42",11,"OXTOARC1",20
"43",11,"PMICARC1",19
"44",11,"XLMEARC1",20
"45",12,"MCTLARC1",20
"46",12,"OXTOARC1",20
"47",12,"PMICARC1",20
"48",12,"XLMEARC1",20
"49",13,"MCTLARC1",20
"50",13,"OXTOARC1",20
"51",13,"PMICARC1",20
"52",13,"XLMEARC1",20
"53",14,"MCTLARC1",20
"54",14,"OXTOARC1",20
"55",14,"PMICARC1",20
"56",14,"XLMEARC1",20
"57",15,"MCTLARC1",20
"58",15,"OXTOARC1",20
"59",15,"PMICARC1",19
"60",15,"XLMEARC1",20
"61",16,"MCTLARC1",20
"62",16,"OXTOARC1",20
"63",16,"PMICARC1",19
"64",16,"XLMEARC1",20
"65",17,"MCTLARC1",4
"66",17,"OXTOARC1",20
"67",17,"PMICARC1",2
"68",17,"XLMEARC1",4
"69",18,"MCTLARC1",4
"70",18,"OXTOARC1",20
"71",18,"PMICARC1",2
"72",18,"XLMEARC1",4
"73",19,"MCTLARC1",19
"74",19,"OXTOARC1",20
"75",19,"PMICARC1",19
"76",19,"XLMEARC1",20
"77",20,"MCTLARC1",19
"78",20,"OXTOARC1",20
"79",20,"PMICARC1",19
"80",20,"XLMEARC1",20
"81",21,"MCTLARC1",3
"82",21,"OXTOARC1",20
"83",21,"PMICARC1",3
"84",21,"XLMEARC1",20
"85",22,"MCTLARC1",19
"86",22,"OXTOARC1",20
"87",22,"PMICARC1",19
"88",22,"XLMEARC1",19
"89",23,"MCTLARC1",3
"90",23,"OXTOARC1",20
"91",23,"PMICARC1",3
"92",23,"XLMEARC1",3
"93",24,"MCTLARC1",3
"94",24,"OXTOARC1",20
"95",24,"PMICARC1",3
"96",24,"XLMEARC1",20
"97",25,"MCTLARC1",19
"98",25,"OXTOARC1",20
"99",25,"PMICARC1",3
"100",25,"XLMEARC1",19
"101",26,"MCTLARC1",4
"102",26,"OXTOARC1",20
"103",26,"PMICARC1",2
"104",26,"XLMEARC1",4
"105",27,"MCTLARC1",2
"106",27,"OXTOARC1",20
"107",27,"PMICARC1",2
"108",27,"XLMEARC1",2
"109",28,"MCTLARC1",19
"110",28,"OXTOARC1",20
"111",28,"PMICARC1",19
"112",28,"XLMEARC1",20
"113",29,"MCTLARC1",20
"114",29,"OXTOARC1",20
"115",29,"PMICARC1",19
"116",29,"XLMEARC1",20
"117",30,"MCTLARC1",19
"118",30,"OXTOARC1",20
"119",30,"PMICARC1",19
"120",30,"XLMEARC1",20
"121",31,"MCTLARC1",19
"122",31,"OXTOARC1",20
"123",31,"PMICARC1",19
"124",31,"XLMEARC1",20
"125",32,"MCTLARC1",99
"126",32,"OXTOARC1",-1
"127",32,"PMICARC1",-1
"128",32,"XLMEARC1",99
"129",33,"MCTLARC1",20
"130",33,"OXTOARC1",-1
"131",33,"PMICARC1",-1
"132",33,"XLMEARC1",20
"133",34,"MCTLARC1",20
"134",34,"OXTOARC1",20
"135",34,"PMICARC1",19
"136",34,"XLMEARC1",20
"137",35,"MCTLARC1",20
"138",35,"OXTOARC1",20
"139",35,"PMICARC1",3
"140",35,"XLMEARC1",20
"141",36,"MCTLARC1",20
"142",36,"OXTOARC1",20
